Dora Elementary School,100 School St 88115,Dora,138
Dora High School,100 School St 88115,Dora,115
Red River Valley Charter School,500 East High Street 87558,Red River,89
Elida Elementary School,103 North Church 88116,Elida,82
Elida High School,101 North Church 88116,Elida,66
J Paul Taylor Academy,402 W Court Ave Building 2 88005,Las Cruces,200
Mills Elementary School,200 West Copper 88240,Hobbs,355
Broadmoor Elementary School,1500 North Houston Street 88240,Hobbs,378
Coronado Elementary School,2600 North Brazos Avenue 88240,Hobbs,402
College Lane Elementary School,2000 West College Lane 88242,Hobbs,519
Houston Junior High School,300 North Houston Street 88240,Hobbs,777
Sanger Elementary School,2020 North Acoma Drive 88240,Hobbs,353
Stone Elementary School,1015 West Calle Sur Street 88240,Hobbs,439
Edison Elementary School,501 East Gypsy Street 88240,Hobbs,312
Jefferson Elementary School,1200 West Park Street 88240,Hobbs,378
Will Rogers Elementary School,300 East Clinton Street 88240,Hobbs,297
Highland Junior High School,2500 North Jefferson Street 88240,Hobbs,813
Hobbs High School,800 North Jefferson Street 88240,Hobbs,1919
Hobbs Freshman High School,101 East Stanolind Road 88240,Hobbs,720
Southern Heights Elementary School,101 East Texas Street 88240,Hobbs,444
Taylor Elementary School,1700 East Yeso Drive 88240,Hobbs,436
Heizer Middle School,101 East Stanolind Road 88240,Hobbs,650
Murray Elementary School,510 North Dal Paso Street 88240,Hobbs,528
B.T. Washington Elementary School,1200 East Humble Street 88240,Hobbs,255
Mike Sena Elementary School,901 Douglas Avenue 87701,Las Vegas,62
Sierra Vista Elementary School,475 Legion Drive 87701,Las Vegas,334
Paul D. Henry Elementary School,1104 3rd Street 87701,Las Vegas,137
Robertson High School,5th And Friedman 87701,Las Vegas,465
Los Ninos Elementary School,474 Legion Drive 87701,Las Vegas,352
Memorial Middle School,Old National Rd 87701,Las Vegas,242
Legion Park Elementary School,730 Legion Drive 87701,Las Vegas,174
Lvcs Early Childhood,901 Douglas Avenue 87701,Las Vegas,90
Nm School For The Deaf,1060 Cerrillos Road 87505,Santa Fe,123
Jal High School,200 East Panther Avenue 88252,Jal,123
Jal Elementary School,301 West Minnesota Avenue 88252,Jal,266
Jal Jr High School,200 East Panther Avenue 88252,Jal,117
Montessori Elementary School,1730 Montaño Road Northwest 87107,Albuquerque,421
San Ildefonso Day School,36 Tunyo Po 87506,San Ildefonso Pueblo,46
Roots & Wings Community,35 La Lama Road 87556,Questa,50
Chi Chil'Tah Community School,831 Cousins Road 87326,Vanderwagen,130
La Resolana Leadership,230 Truman Street Northeast 87108,Albuquerque,74
Jefferson Elementary School,300 West Jefferson Avenue 88260,Lovington,248
Sixth Grade Academy,500 West Jefferson Avenue 88260,Lovington,260
Yarbro Elementary School,700 West Jefferson Avenue 88260,Lovington,619
Lovington High School,701 West Avenue K 88260,Lovington,619
Taylor Middle School,700 South 11th Street 88260,Lovington,563
Lovington Freshman Academy,701 West Avenue K 88260,Lovington,251
Lea Elementary School,1100 West Birch Avenue 88260,Lovington,238
Llano Elementary School,1000 South 1st Street 88260,Lovington,482
Ben Alexander Elementary School,1400 South 6th Street 88260,Lovington,297
New Hope Alt High School,601 North 5th Street 88260,Lovington,75
Sanostee Day School,Indin Service Rte 34 87461,Sanostee,43
Estancia Middle School,Joseph Ave And 9th St 87016,Estancia,99
Upper Elementary School,624 8th St 87016,Estancia,135
Estancia High School,9th And Joseph Ave 87016,Estancia,196
Lower Elementary School,624 8th St 87016,Estancia,140
Van Stone Elementary School,809 Joseph Ave And 9th St 87016,Estancia,41
Las Montanas Charter High School,201 East Lohman Avenue 88001,Las Cruces,162
Ch'Ooshgai Community School,1 saint marys road 87325,Tohatchi,332
La Academia Dolores Huerta,1480 North Main Street 88001,Las Cruces,164
Tatum High School,307 West 3rd Street 88267,Tatum,100
Tatum Elementary School,115 West 3rd Street 88267,Tatum,179
Tatum Jr High School,320 West 3rd Street 88267,Tatum,52
Eunice High School,1101 19th Street 88231,Eunice,224
Caton Middle School,1109 16th Street 88231,Eunice,187
Mettie Jordan Elementary School,1715 Avenue M 88231,Eunice,404
Taos International School,118 Este Es Road 87571,Taos,205
Crystal Boarding School,Hwy 134 87328,Navajo,115
Vaughn High School,101 4th Street 88353,Vaughn,32
Vaughn Elementary School,101 4th Street 88353,Vaughn,36
Questa High School,527 Sagebrush Lane 87556,Questa,121
Questa Jr High School,Hwy 522 87556,Questa,52
Alta Vista Intermediate School,1 Wildcat Rd 87556,Questa,77
Alta Vista Elementary School,Hwy 38 And West Gallegos 87556,Questa,95
Rio Costilla Elementary School,14 Garcia Road 87524,Costilla,32
R.V.Traylor Elementary School,500 Ownby Street 88045,Lordsburg,248
Lordsburg High School,501 West 4th Street 88045,Lordsburg,115
Central Elementary School,207 High Street 88045,Lordsburg,65
Dugan-Tarango Middle School,1352 Hardin Street 88045,Lordsburg,68
T'Siya Elementary and Middle School,1000 Borrego Canyon Road 87053,San Ysidro,77
Taos Day School,P.O. Box 1850 87571,Taos,154
Tularosa Inter,504 1st Street 88345,Ruidoso,280
Tularosa High School,1305 8th Street 88352,Tularosa,253
Tularosa Middle School,504 1st Street 88352,Tularosa,122
Tularosa Elementary School,504 1st Street 88352,Tularosa,186
Hagerman Elementary School,406 North Cambridge Avenue 88232,Hagerman,202
Hagerman High School,409 North Cambridge Avenue 88232,Hagerman,133
Hagerman Middle School,410 North Cambridge Avenue 88232,Hagerman,102
Uplift Community School,406 New Mexico 564 87301,Gallup,189
Dexter Elementary School,400 1st Street 88230,Dexter,440
Dexter Middle School,200 North Lincoln 88230,Dexter,228
Dexter High School,100 Lincoln Avenue 88230,Dexter,305
William W & Josephine Dorn Charter Community School,1119 Edith Blvd Se 87102,Albuquerque,53
William W & Josephine Dorn Charter Community School,1119 Edith Boulevard Southeast 87102,Albuquerque,47
Fort Sumner High School,1001 Sumner Avenue 88119,Fort Sumner,85
Fort Sumner Middle School,1001 Sumner Avenue 88119,Fort Sumner,56
Fort Sumner Elementary School,1001 Sumner Avenue 88119,Fort Sumner,164
Hanaa'Dli Community School,700 County Road 7150 87413,Bloomfield,13
Dream Dine,Highway 64 Milepost 23 Nw 87420,Shiprock,26
North Valley Academy,7939 4th St NW 87114,Albuquerque,495
The Family School,4 Eastside School Road 87002,Belen,116
Gil Sanchez Elementary School,376 Jarales Road 87023,Jarales,290
Central Elementary School,600 West Picard Avenue 87002,Belen,233
La Merced Elementary School,301 Alame Loop 87002,Belen,473
Dennis Chavez Elementary School,19670 New Mexico 314 87002,Belen,319
Rio Grande Elementary School,15 Eastside School Road 87002,Belen,313
La Promesa Elementary School,898 New Mexico 304 87062,Veguita,191
Belen High School,1619 West Delgado Avenue 87002,Belen,1005
Belen Middle School,314 South 4th Street 87002,Belen,516
Jaramillo Elementary School,900 Esperanza Drive 87002,Belen,361
Belen Infinity High School,221 S. 4th Street 87002,Belen,95
Del Norte Elementary School,2701 North Garden Avenue 88201,Roswell,548
Sidney Gutierrez Middle School,4 East Challenger Street 88203,Roswell,66
El Capitan Elementary School,2807 West Bland Street 88203,Roswell,448
Military Hgts Elementary School,1900 North Michigan Avenue 88201,Roswell,486
Valley View Elementary School,1400 South Washington Avenue 88203,Roswell,551
Berrendo Elementary School,505 West Pine Lodge Rd 88201,Roswell,458
Berrendo Middle School,800 Marion Richards Road 88201,Roswell,663
E Grand Plains Elementary School,3773 East Grand Plains Road 88203,Roswell,321
Goddard High School,701 East Country Club Road 88201,Roswell,1097
Washington Ave Elementary School,408 North Washington Avenue 88201,Roswell,442
Early College High School,52 University Boulevard 88203,Roswell,155
Pecos Elementary School,600 East Hobbs Street 88203,Roswell,380
Sunset Elementary School,606 O Connor Road 88203,Roswell,334
Nancy Lopez Elementary School,1208 East Bland Street 88203,Roswell,291
Monterrey Elementary School,910 West Gayle Street 88203,Roswell,504
Mountain View Middle School,312 East Mountain View Road 88203,Roswell,531
Mesa Middle School,1601 East Bland Street 88203,Roswell,437
Missouri Ave Elementary School,700 West Deming Street 88203,Roswell,339
Roswell High School,500 West Hobbs Street 88203,Roswell,1268
Sierra Middle School,615 South Sycamore Avenue 88203,Roswell,661
Parkview Early Literacy Center,1700 West Alameda Street 88203,Roswell,301
University High School,25 West Martin Street 88203,Roswell,132
Nm Military Institute,101 West College Blv 88201,Roswell,0
Carlsbad Early College High,1500 University Drive 88220,Carlsbad,240
Ocotillo Elementary School,2106 Captain Williams Lane 88220,Carlsbad,655
Monterrey Elementary School,1101 North 9th Street 88220,Carlsbad,345
Joe Stanley Smith Elementary School,505 Alta Vista Street 88220,Carlsbad,346
Desert Willow Elementary School,2100 Primrose Street 88220,Carlsbad,663
Alta Vista Middle School,301 Alta Vista Street 88220,Carlsbad,466
Sunset Elementary School,923 Walter Street 88220,Carlsbad,396
Jefferson Montessori,101 South Canal Street 88220,Carlsbad,199
Carlsbad High School,3000 West Church Street 88220,Carlsbad,1540
Craft Elementary School,406 West Lea Street 88220,Carlsbad,229
P.R. Leyva Middle School,800 West Church Street 88220,Carlsbad,960
Pecos Connections Academy,408 North Canyon Street 88220,Carlsbad,524
Ece Center,1801 West Lea Street 88220,Carlsbad,560
Dr. Emmitt Smith,2415 Carver Street 88220,Carlsbad,159
Penasco High School,13 School Road 87553,Peñasco,98
Penasco Middle School,13 School Road 87553,Peñasco,57
Penasco Elementary School,14190 New Mexico 75 87553,Peñasco,201
La Promesa Early Learning,7500 La Morada Place Northwest 87120,Albuquerque,386
Zuni High School,71 Route 301 North 87327,Zuni,286
Twin Buttes High School,16 Sandy Springs Rd 87327,Zuni,48
Zuni Middle School,17 Zuni Mid School Drive 87327,Zuni,269
Shiwi Ts'Ana Elementary School,38 Route 301 North 87327,Zuni,691
Placitas Elementary School,480 Calle Del Norte 87004,Bernalillo,111
Cochiti Middle School,800 Quail Hill Trail 87041,Peña Blanca,80
Cochiti Elementary School,800 Quail Hill Trail 87041,Peña Blanca,197
Bernalillo Elementary School,301 Calle del Escuela 87004,Bernalillo,419
Algodones Elementary School,1399 Hwy 313 87001,Algodones,168
Bernalillo Middle School,485 Camino Don Tomas 87004,Bernalillo,445
Santo Domingo Middle School,75 New Mexico 22 87052,Kewa Pueblo,85
Bernalillo High School,250 Isidro Sanchez Circle 87004,Bernalillo,817
Santo Domingo Elementary School,75 New Mexico 22 87052,Kewa Pueblo,234
Wd Carroll Elementary School,842 Camino Don Tomas 87004,Bernalillo,355
Estancia Valley Classical Academy,132 West Impala Court 87035,Moriarty,491
Nm School For The Blind And Visually Impaired,1900 North White Sands Boulevard 88310,Alamogordo,30
San Felipe Pueblo Elementary School,I-25n & Sr313 87001,San Felipe Pueblo,424
S. Y. Jackson Elementary School,4720 Cairo Drive Northeast 87111,Albuquerque,556
Hubert H Humphrey Elementary School,9801 Academy Hills Dr Ne 87111,Albuquerque,465
Double Eagle Elementary School,8901 Lowell Drive Northeast 87122,Albuquerque,551
North Star Elementary School,9301 Ventura Street Northeast 87122,Albuquerque,640
Onate Elementary School,12415 Brentwood Hills Boulevard Northeast 87112,Albuquerque,244
Roosevelt Middle School,11799 New Mexico 14 87008,Cedar Crest,376
San Antonito Elementary School,12555 New Mexico 14 87047,Sandia Park,339
Dennis Chavez Elementary School,7500 Barstow Street Northeast 87109,Albuquerque,577
La Cueva High School,7801 Wilshire Avenue Northeast 87122,Albuquerque,1755
Georgia O'keeffe Elementary School,1701 San Victorio Av Ne 87111,Albuquerque,692
Desert Ridge Middle School,8400 Barstow Street Northeast 87122,Albuquerque,1011
College and Career High School,900 University Boulevard Southeast 87106,Albuquerque,160
Arroyo Del Oso Elementary School,6504 Harper Drive Northeast 87109,Albuquerque,400
Eisenhower Middle School,11001 Camero Avenue Northeast 87111,Albuquerque,841
John Baker Elementary School,12015 Tivoli Avenue Northeast 87111,Albuquerque,532
Osuna Elementary School,4715 Moon Street Northeast 87111,Albuquerque,535
East Mountain High School,25 La Madera Road 87047,Sandia Park,372
Digital Arts And Technology,1011 Lamberton Place Northeast 87107,Albuquerque,288
Ventana Ranch Elementary School,6801 Ventana Rd Nw 87114,Albuquerque,766
Tierra Antigua Elementary School,8121 Rainbow Boulevard Northwest 87114,Albuquerque,925
Corrales International,5500 Wilshire Avenue Northeast 87113,Albuquerque,246
Gordon Bernell Charter School,401 Roma Avenue Northwest 87102,Albuquerque,428
A. Montoya Elementary School,24 Public School Road 87059,Tijeras,454
Bandelier Elementary School,3309 Pershing Avenue Southeast 87106,Albuquerque,564
Petroglyph Elementary School,5100 Marna Lynn Avenue Northwest 87114,Albuquerque,696
Laguna Elementary School,19 Schoolhouse Road 87038,Cibola County,237
Judy Nelson Elementary School,40 Road 6580 87417,Kirtland,630
Kirtland Elementary School,30 Road 6446 87417,Kirtland,549
Central High School,550 Road 6100 87417,Kirtland,752
Kirtland Middle School,538 Road 6100 87417,Kirtland,475
Nizhoni Elementary School,Hwy 491 87420,Shiprock,389
Ojo Amarillo Elementary School,Rd 6500 And Rd 6466 87416,Fruitland,408
Eva B Stokely Elementary School,West Hwy 64 87420,Shiprock,313
Mesa Elementary School,N Hwy 491 Mesa School Rd 87420,Shiprock,302
Newcomb Elementary School,Us 491 87455,Newcomb,271
Shiprock High School,Hwy 64 87420,Shiprock,650
Newcomb High School,Us 491 87455,Newcomb,226
Tse'bit'ai Middle School,Us Hwy 64 87420,Shiprock,475
Naschitti Elementary School,Us Hwy 491 87364,Sheep Springs,93
Newcomb Middle School,Us 491 87455,Newcomb,192
Career Prep High School,West Hwy 64 87420,Shiprock,137
Kirtland Pre-K Early,30 Road 6446 87417,Kirtland,111
Ojo Encino Day School,Hcr 79 Box 7 87013,Cuba,183
Beclabito Day School,P.O. Box 1200 87420,Shiprock,82
Pueblo Pintado Community School,Hcr 79 Box 80 87013,Cuba,239
The Ask Academy,4311 Sara Road 87124,Rio Rancho,502
Taos Academy,110 Paseo Del Canon West 87571,Taos,209
Cien Aguas International,2000 Randolph Se 87106,Albuquerque,423
Cien Aguas International,2000 Randolph Road Southeast 87106,Albuquerque,391
Carrizozo High School,800 D Avenue 88301,Carrizozo,48
Carrizozo Elementary School,800 D Avenue 88301,Carrizozo,59
Carrizozo Middle School,800 D Avenue 88301,Carrizozo,41
Mccoy Avenue Elementary School,901 Mc Coy Avenue 87410,Aztec,409
Lydia Rippey Elementary School,401 Rio Pecos Road 87410,Aztec,421
C.V. Koogler Middle School,455 North Light Plant Road 87410,Aztec,650
Mosaic Academy Charter School,450 Llano 87410,Aztec,180
Aztec High School,500 East Chaco Street 87410,Aztec,881
Park Avenue Elementary School,507 South Park Avenue 87410,Aztec,473
Vista Nueva High School,315 South Ash Street 87410,Aztec,57
McCurdy Charter School,362A South McCurdy Road 87532,Española,537
International School At Mesa Del Sol,2660 Eastman Crossing Se 87106,Albuquerque,313
International School At Mesa Del Sol,2660 Eastman Crossing Southeast 87106,Albuquerque,295
Des Moines High School,500 Des Moines Avenue 88418,Des Moines,47
Des Moines Elementary School,500 Des Moines Avenue 88418,Des Moines,43
Mosquero Elementary School,43 McNeil Ave 87733,Mosquero,21
Mosquero High School,43 McNeil Ave 87733,Mosquero,18
Hatch Valley Middle School,901 Herrera Road 87937,Hatch,283
Garfield Elementary School,8820 New Mexico 187 87936,Garfield,100
Hatch Valley High School,170 Herrera Road 87937,Hatch,377
Rio Grande Elementary School,940 Herrera Road 87937,Hatch,259
Hatch Valley Elementary School,801 Herrera Road 87937,Hatch,265
Santa Fe Indian School,Po 5340 87502,Santa Fe,642
Coronado High School,Nm Hwy 46 87017,Gallina,51
Gallina Elementary School,Nm Hwy 46 87017,Gallina,57
Coronado Middle School,Nm Hwy 46 87017,Gallina,30
Lybrook Elementary School,Us 550 87013,Cuba,53
Lindrith Area Heritage,1086 Highway 595 87029,Lindrith,24
Lake Arthur Middle School,700 Broadway Street 88253,Lake Arthur,31
Lake Arthur High School,700 Broadway Street 88253,Lake Arthur,29
Lake Arthur Elementary School,700 Broadway Street 88253,Lake Arthur,40
Walatowa High Charter,147 Bear Head Canyon 87044,Ponderosa,46
Roy Elementary School,5th St And Roosevelt St 87743,Roy,39
Roy High School,5th St And Roosevelt St 87743,Roy,10
Santa Clara Day School,625 Kee Street 87532,Española,134
Dzit Dit Lool School of Empowerment Action and Perseverance,13 Shepard Springs Rd 87328,Navajo,28
To'Hajiilee Day School,P.O. Box 3438 87026,Tohajiilee,317
Kiser Elementary School,224 Spruce Street 88415,Clayton,77
Clayton High School,323 South 5th Street 88415,Clayton,137
Alvis Elementary School,4th And Aspen 88415,Clayton,182
Clayton Junior High School,3rd And Spruce 88415,Clayton,79
Cliff High School,622 New Mexico 211 88038,Gila,120
Jose Barrios Elementary School,1625 Little Walnut Road 88061,Silver City,231
Cliff Elementary School,622 New Mexico 211 88038,Gila,121
Silver City Opportunity School,600 East 32nd Street 88061,Silver City,83
Harrison Schmitt Elementary School,4042 New Mexico 90 88061,Silver City,469
Sixth Street Elementary School,405 West 6th Street 88061,Silver City,182
La Plata Middle School,3500 North Silver Street 88061,Silver City,298
Silver High School,3200 North Silver Street 88061,Silver City,627
G.W.Stout Elementary School,2601 North Silver Street 88061,Silver City,449
Sage Montessori Charter School,3821 Singer Boulevard Northeast 87109,Albuquerque,152
Coral Community Charter,4401 Silver Avenue Southeast 87108,Albuquerque,243
Desert View Elementary School,1105 Valle Vista Drive 88063,Sunland Park,485
Anthony Elementary School,609 Church Street 88021,Anthony,415
Mesquite Elementary School,205 New Mexico 228 88048,Mesquite,292
Santa Teresa Middle School,4800 McNutt Road 88008,Santa Teresa,666
Santa Teresa Elementary School,201 Comerciantes Boulevard 88008,Santa Teresa,580
North Valley Elementary School,300 Cascade Avenue 88044,La Mesa,357
Gadsden Elementary School,1440 Hwy 478 88063,Sunland Park,505
Sunland Park Elementary School,305 Alto Vista Drive 88063,Sunland Park,294
La Union Elementary School,875 Mercantil Avenue 88021,Anthony,295
Gadsden Middle School,1301 Washington Street 88021,Anthony,738
Alta Vista Early College High School,5235 New Mexico 28 88021,Anthony,181
Chaparral Middle School,290 East Lisa Drive 88081,Chaparral,600
Santa Teresa High School,100 Airport Road 88008,Santa Teresa,1262
Desert Trails Elementary School,290 East Lisa Drive 88081,Chaparral,543
Loma Linda Elementary School,1451 Donaldson Avenue 88021,Anthony,348
Chaparral Elementary School,300 East Lisa Drive 88081,Chaparral,511
Berino Elementary School,455 Shrode Rd 88021,Anthony,460
Gadsden High School,6308 New Mexico 28 88021,Anthony,1440
Riverside Elementary School,4085 McNutt Road 88063,Sunland Park,578
Vado Elementary School,330 Holguin Road 88072,Vado,443
Yucca Heights Elementary School,580 Angelina Boulevard 88081,Chaparral,615
Sunrise Elementary School,1000 County Line Drive 88081,Chaparral,421
Chaparral High School,800 County Line Dr 88021,Anthony,1080
Gadsden Admin Complex Prek Center,4950 McNutt Road 88008,Santa Teresa,180
La Mesa On Track Prek Center,253 Chimuri Street 88044,La Mesa,83
Eagle Nest Middle School,225 Lake Street 87718,Eagle Nest,101
Eagle Nest Elementary School,132 North Collison 87718,Eagle Nest,113
Moreno Valley High School,56 Camino Grande 87710,Angel Fire,55
Cimarron High School,165 North Collison Avenue 87714,Cimarron,72
Cimarron Middle School,132 North Collison Avenue 87714,Cimarron,50
Cimarron Elementary School,132 North Collison Avenue 87714,Cimarron,62
East Mountain High Charter,25 La Madera Rd 87047,Sandia Park,0
Bloomfield High School,520 North 1st Street 87413,Bloomfield,807
Blanco Elementary School,7313 U.S. 64 87412,Blanco,210
Mesa Alta Jr High School,329 North Bergin Lane 87413,Bloomfield,408
Naaba Ani Elementary School,1201 North 1st Street 87413,Bloomfield,572
Central Primary School,310 West Sycamore Avenue 87413,Bloomfield,589
Bloomfield Early Childhood Center,310 La Jara Street 87413,Bloomfield,337
Charlie Y Brown Alternative School,924 South Bloomfield Boulevard 87413,Bloomfield,84
Southwest Primary Learning Center,10301 Candelaria Road Northeast 87112,Albuquerque,191
Arts Academy At Bella Vista,2900 Cesar Chavez Drive 88101,Clovis,335
Zia Elementary School,2400 North Norris Street 88101,Clovis,439
Mesa Elementary School,4801 North Norris Street 88101,Clovis,504
Sandia Elementary School,2801 Lore Street 88101,Clovis,403
Barry Elementary School,3401 North Thornton Street 88101,Clovis,404
Clovis High School,1900 North Thornton Street 88101,Clovis,1576
Marshall Middle School,100 Commerce Way 88101,Clovis,608
Clovis High School Freshman Academy,1400 Cameo Street 88101,Clovis,546
James Bickley Elementary School,500 West 14th Street 88101,Clovis,307
Cameo Elementary School,1500 Cameo Street 88101,Clovis,282
La Casita Elementary School,400 Davis Street 88101,Clovis,237
Parkview Elementary School,1121 Maple Street 88101,Clovis,401
Yucca Middle School,1500 Sycamore Street 88101,Clovis,634
WD Gattis Middle School,1314 Curry Road North 88101,Clovis,621
